ROI 1,Area,Mean,StdDev,X,Y,Total FI
,,,,,,
1,248.163,79.706,42.739,57.288,203,19780.08
2,676.244,55.515,41.845,215.246,32.173,37541.69
3,500.462,51.58,39.278,346.013,85.725,25813.83
4,348.462,56.624,45.705,161.694,555.24,19731.31
5,492.879,60.812,41.658,327.54,307.613,29972.96
6,505.46,54.452,46.339,324.842,332.314,27523.31
7,342.603,104.081,70.13,388.357,348.504,35658.46
8,579.047,95.186,50.117,401.018,327.54,55117.17
9,574.911,51.052,43.784,421.983,304.915,29350.36
10,412.571,165.589,74.87,430.7,368.43,68317.22
11,376.897,123.075,65.994,452.08,362.411,46386.60
12,408.607,74.785,42.41,428.21,336.05,30557.67
13,615.754,67.495,49.982,333.767,359.92,41560.32
14,446.693,145.89,60.262,353.486,385.866,65168.04
15,310.721,142.616,57.62,357.222,370.921,44313.79
16,698.992,177.535,75.29,375.903,392.093,124095.54
17,374.829,171.358,76.051,367.393,432.153,64229.95
18,446.693,112.76,68.942,337.295,403.302,50369.10
19,415.156,128.188,70.07,348.504,424.473,53218.02
20,439.455,134.596,55.772,403.509,417.209,59148.89
21,314.857,123.236,73.392,383.375,418.246,38801.72
22,330.367,139.076,54.171,404.547,394.584,45946.12
23,430.666,142.171,64.911,406,357.429,61228.22
24,368.625,131.903,63.889,429.455,418.246,48622.74
25,446.176,180.318,77.629,455.816,419.699,80453.56
26,309.687,193.964,79.457,441.909,434.437,60068.13
27,356.217,128.078,60.414,390.64,442.532,45623.56
28,280.734,75.655,54.018,342.277,497.952,21238.93
29,275.047,96.101,54.481,358.882,489.649,26432.29
30,287.8,115.322,55.62,378.186,484.045,33189.67
31,152.517,79.768,45.702,370.506,501.273,12165.98
32,329.333,96.144,48.708,454.363,503.764,31663.39
33,390.34,85.795,51.141,413.888,515.595,33489.22
34,251.265,50.139,46.197,421.152,481.347,12598.18
35,280.734,68.261,47.31,394.584,473.044,19163.18
36,310.031,102.645,50.6,500.235,397.697,31823.13
37,417.569,80.425,46.574,504.179,456.439,33582.99
38,296.761,91.895,51.277,480.931,423.228,27270.85
39,368.625,55.26,42.41,456.024,458.929,20370.22
40,313.995,58.025,37.813,467.855,382.337,18219.56
41,221.279,152.841,87.974,521.615,424.473,33820.50
42,253.85,152.19,62.092,533.238,400.396,38633.43
43,275.047,81.193,52.088,578.28,358.26,22331.89
44,366.04,96.241,61.758,533.238,499.197,35228.06
45,497.877,79.11,53.075,524.105,322.351,39387.05
46,287.455,49.309,36.454,505.217,278.554,14174.12
47,354.666,51.723,36.92,607.132,329.823,18344.39
48,355.7,51.082,46.252,353.071,262.572,18169.87
49,412.571,89.383,51.843,556.693,448.759,36876.83
50,326.748,88.38,50.616,540.711,420.322,28877.99
51,382.584,94.965,52.739,554.202,417.624,36332.09
52,213.523,66.172,55.772,480.931,492.97,14129.24
53,243.51,132.211,61.376,564.166,493.178,32194.70
54,391.374,167.915,72.529,574.752,471.383,65717.57
55,270.394,205.024,60.934,581.394,443.985,55437.26
56,440.489,159.555,68.907,595.508,473.044,70282.22
57,329.505,163.34,64.272,583.884,496.291,53821.35
58,412.054,148.69,72.631,605.679,495.669,61268.31
59,401.714,102.245,53.095,626.228,452.287,41073.25
60,313.823,68.081,40.91,639.512,470.553,21365.38
61,439.972,92.628,56.189,599.037,424.266,40753.73
62,365.006,106.989,48.947,603.811,450.627,39051.63
63,633.849,72.824,44.814,684.347,483.837,46159.42
64,385.686,144.367,71.634,698.461,507.085,55680.33
65,393.442,69.281,49.678,668.779,450.834,27258.06
66,407.401,82.136,51.679,658.608,434.021,33462.29
67,333.469,71.15,45.101,627.889,404.132,23726.32
68,697.958,68.34,54.848,684.554,397.697,47698.45
69,463.237,65.364,43.854,642.003,560.222,30279.02
70,399.646,53,42.437,644.494,531.163,21181.24
71,371.727,50.811,41.712,622.077,535.314,18887.82
72,367.764,57.879,40.186,430.493,533.861,21285.81
73,460.825,98.35,59.876,848.739,571.846,45322.14
74,419.292,82.619,56.621,840.437,615.019,34641.49
75,375.863,59.78,44.82,830.681,586.168,22469.09
76,530.448,89.881,46.251,874.477,607.547,47677.20
77,343.809,60.609,42.617,878.629,629.964,20837.92
78,446.693,74.434,52.133,868.666,554.41,33249.15
